income,age,gender,education_level
54805,55,0,2.0
51278,44,0,2.0
48612,54,0,2.0
40580,38,1,3.0
38646,43,0,2.0
42709,41,1,2.0
39877,29,1,3.0
40514,28,1,1.0
49401,21,0,2.0
34399,29,0,2.0
45615,35,1,1.0
30707,38,1,2.0
49701,49,0,0.0
51860,64,1,3.0
44577,40,0,2.0
56147,61,0,3.0
33509,18,1,1.0
53854,31,1,2.0
39215,39,0,1.0
40207,42,0,3.0
26527,20,0,1.0
53807,43,0,2.0
31497,28,0,3.0
18704,32,1,2.0
23396,26,0,2.0
47505,31,1,1.0
34888,37,1,1.0
49526,45,1,2.0
42807,29,1,0.0
42156,38,1,3.0
57653,25,0,3.0
41744,23,1,1.0
32849,31,1,2.0
40166,29,1,3.0
48700,39,0,0.0
27015,36,0,2.0
48109,22,1,1.0
54797,62,0,2.0
56999,29,0,1.0
34988,18,0,1.0
17547,34,0,2.0
44618,26,1,1.0
16142,29,1,1.0
47260,36,1,1.0
48522,54,0,3.0
44442,30,0,1.0
45178,32,1,2.0
44579,22,1,2.0
38765,33,1,1.0
35146,35,0,1.0
37235,38,0,1.0
37462,35,0,2.0
49220,63,1,3.0
37172,19,1,2.0
31360,32,1,2.0
48528,29,0,2.0
46522,30,0,1.0
48227,31,1,2.0
40791,25,1,1.0
44545,36,0,2.0
49609,44,0,2.0
60793,60,0,3.0
43991,26,0,1.0
43580,36,1,1.0
41078,38,1,2.0
47922,32,0,2.0
43120,24,1,1.0
23203,25,1,1.0
23423,32,1,1.0
39686,29,0,3.0
33139,20,1,2.0
30420,28,1,2.0
40944,32,1,2.0
18390,25,0,0.0
39846,43,1,2.0
44085,35,0,1.0
43212,35,0,1.0
47169,37,1,3.0
45888,36,0,0.0
61026,48,0,1.0
38700,40,0,1.0
43160,33,1,2.0
39656,43,1,1.0
28959,31,0,1.0
53833,49,1,1.0
39134,32,0,3.0
49084,34,1,1.0
36349,39,1,2.0
41111,35,0,3.0
66052,38,0,3.0
40644,27,1,3.0
38732,34,1,1.0
44705,40,0,3.0
48225,27,1,2.0
35617,29,0,1.0
46070,24,1,2.0
52479,42,1,3.0
31784,31,1,1.0
41317,27,0,3.0
36922,33,1,2.0
36246,38,0,0.0
43191,27,1,2.0
47211,27,1,3.0
55851,60,1,3.0
28326,23,1,2.0
