income,age,gender,education_level
30303,38,0,2.0
39067,27,0,0.0
33776,32,0,2.0
36746,26,0,1.0
45466,38,1,3.0
30855,34,1,0.0
31889,18,0,2.0
49954,28,0,1.0
32474,20,0,1.0
48008,26,1,1.0
36073,35,1,1.0
39310,25,0,2.0
39373,34,0,2.0
15000,37,0,0.0
45899,25,1,2.0
41323,44,0,3.0
40082,43,0,1.0
40613,35,0,1.0
30898,39,0,2.0
40823,35,0,2.0
39683,22,1,1.0
41906,43,0,1.0
44443,35,0,2.0
30060,39,0,1.0
49747,35,0,1.0
31081,24,1,2.0
39261,39,0,2.0
60881,32,1,2.0
37546,30,1,1.0
45352,39,1,2.0
41725,29,1,1.0
29901,32,0,3.0
44127,34,1,0.0
50154,41,0,1.0
40098,41,1,1.0
38831,33,0,1.0
32914,18,1,3.0
41938,26,0,2.0
42124,28,1,1.0
50289,59,1,3.0
15146,33,0,1.0
44967,37,1,1.0
43697,37,0,1.0
29313,38,0,0.0
34971,25,1,2.0
44563,37,1,2.0
38066,43,1,0.0
38158,30,1,3.0
44041,36,1,1.0
43608,29,0,2.0
46996,31,0,2.0
42562,32,1,1.0
43597,32,0,2.0
48286,36,1,1.0
37709,29,1,2.0
41612,25,1,3.0
59820,60,0,2.0
53720,56,1,2.0
40107,37,1,1.0
27823,30,1,2.0
41580,25,0,2.0
42245,27,1,1.0
41959,29,1,2.0
33045,24,0,3.0
29437,24,0,1.0
28836,20,0,1.0
47121,35,0,2.0
34114,34,0,2.0
49451,43,0,2.0
50061,42,1,1.0
41355,29,1,3.0
44135,26,0,2.0
24054,38,0,1.0
39448,19,0,2.0
31979,38,1,1.0
37493,28,0,2.0
36264,27,1,2.0
37434,27,1,2.0
31292,35,0,2.0
53678,43,1,2.0
34287,22,0,2.0
31232,33,0,2.0
49653,56,0,2.0
29363,37,0,1.0
40230,30,0,2.0
32882,35,0,1.0
47811,29,1,3.0
58488,50,1,3.0
39432,43,1,2.0
46822,37,1,2.0
38403,40,1,1.0
19244,32,1,0.0
45018,32,0,2.0
49795,26,0,3.0
20651,38,0,0.0
54393,42,0,2.0
56134,45,1,1.0
16757,39,1,2.0
33076,38,0,3.0
44386,31,1,2.0
48367,38,0,1.0
30657,29,0,2.0
23694,23,1,0.0
43823,21,0,2.0
45209,41,1,0.0
40518,27,1,2.0
45782,42,1,2.0
36478,36,1,1.0
35935,38,0,2.0
46366,42,0,2.0
42324,31,1,1.0
32284,38,1,2.0
31130,30,0,2.0
32017,38,1,2.0
37493,38,1,1.0
60499,61,1,2.0
31436,26,1,2.0
48397,50,1,0.0
47301,25,1,1.0
53240,59,0,1.0
38604,25,1,2.0
29644,29,0,1.0
47635,29,0,1.0
57525,40,0,1.0
42280,36,1,2.0
27495,22,1,2.0
41975,41,0,2.0
34731,31,0,2.0
42191,20,1,0.0
45315,33,1,2.0
64665,42,0,2.0
39882,31,1,1.0
33476,39,1,2.0
48480,49,0,3.0
41428,40,0,2.0
38573,33,1,2.0
23162,21,1,1.0
33977,27,1,2.0
42194,33,1,0.0
43675,29,1,2.0
34237,25,1,2.0
31964,39,0,3.0
26000,34,0,2.0
55319,34,0,2.0
41346,31,0,3.0
15000,23,1,1.0
44143,33,0,2.0
41854,35,0,3.0
40857,26,1,2.0
39605,32,0,2.0
53021,30,0,3.0
46138,32,0,2.0
66161,34,1,1.0
45229,27,1,2.0
52850,32,1,2.0
41303,40,0,2.0
57604,32,1,3.0
45977,21,0,2.0
46979,39,1,1.0
61505,29,0,2.0
45315,27,1,2.0
59366,64,1,2.0
31030,28,0,1.0
45389,40,1,2.0
20332,22,1,1.0
35018,32,0,1.0
51647,60,1,3.0
37366,20,0,0.0
40608,26,0,0.0
33523,32,0,2.0
15000,27,0,1.0
31811,28,1,3.0
41844,32,1,2.0
29154,24,0,3.0
50593,43,0,1.0
51487,31,1,1.0
39169,42,1,3.0
31142,27,1,1.0
44270,38,0,0.0
61042,54,0,3.0
32865,19,1,1.0
40854,27,0,1.0
40099,41,1,2.0
21185,29,0,1.0
43678,39,0,3.0
22940,31,1,0.0
41365,31,1,2.0
46241,26,0,3.0
45796,23,0,3.0
17146,38,1,0.0
35676,25,0,1.0
55282,24,0,2.0
42771,37,1,1.0
52375,31,1,3.0
22842,23,1,0.0
43692,18,1,1.0
45043,38,1,1.0
43257,43,0,2.0
44319,27,1,2.0
15000,30,1,1.0
93330,45,1,1.0
30004,27,1,1.0
45739,31,0,1.0
49621,64,1,2.0
22723,30,1,1.0
40549,39,0,2.0
47543,40,0,1.0
19369,29,0,2.0
20818,38,1,1.0
44298,32,0,2.0
33500,26,0,0.0
53062,28,1,3.0
25595,26,0,3.0
51766,34,1,2.0
60639,22,1,3.0
35733,25,0,2.0
50129,44,0,3.0
53057,34,1,1.0
44907,21,0,2.0
38554,41,1,1.0
53540,27,0,3.0
20252,38,1,2.0
40331,30,0,2.0
47486,31,0,2.0
64699,62,1,0.0
38597,35,0,1.0
45013,26,1,2.0
45819,35,1,2.0
51850,49,1,2.0
42629,32,0,2.0
43177,44,0,3.0
32713,30,0,0.0
44573,31,1,1.0
33090,33,1,1.0
35112,26,1,1.0
17630,32,1,1.0
40458,39,1,2.0
35093,19,0,2.0
54457,37,0,2.0
56098,42,1,3.0
26284,26,1,3.0
34892,38,1,2.0
39742,31,1,0.0
19538,29,1,1.0
35838,20,0,2.0
33986,23,0,1.0
59264,33,0,1.0
36637,26,1,1.0
30149,24,0,2.0
40957,39,1,2.0
52011,26,0,2.0
44208,25,0,2.0
44484,28,0,2.0
51810,53,0,3.0
38496,26,1,1.0
45936,40,1,2.0
44684,26,0,1.0
25738,27,0,2.0
38241,41,0,3.0
35985,36,1,0.0
49265,28,0,1.0
48065,29,1,2.0
53743,27,1,1.0
36895,24,0,2.0
42745,26,1,3.0
26408,21,0,2.0
37180,38,0,2.0
37662,25,0,1.0
37405,41,0,1.0
55458,40,0,3.0
27199,26,1,2.0
27297,28,0,1.0
15000,36,1,1.0
34111,26,0,3.0
30793,26,1,2.0
37176,20,0,2.0
38735,35,1,2.0
45784,28,1,1.0
53957,58,0,3.0
56659,44,1,3.0
28115,18,0,2.0
29004,21,0,2.0
16176,18,1,1.0
